Unnamed: 0.1.1,acousticness,album,artist,available_markets,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track,track_number,valence,y,featuring,remix,with,radio_edit,ost,link,Peak_Pos,WoC
0,0.165,Starboy,Weeknd,59,0.681,230453,0.594,3.49E-06,7,0.134,-7.028,1,0.282,186.054,4,Starboy,1,0.51,1,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/Starboy/,2,38
1,0.414,Closer,Chainsmokers,62,0.748,244960,0.524,0,8,0.111,-5.599,1,0.0338,95.01,4,Closer,1,0.635,1,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/Closer/,1,47
2,0.406,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,62,0.72,251088,0.763,0,9,0.18,-4.068,0,0.0523,101.965,4,Rockabye (feat. Sean Paul & Anne-Marie),1,0.748,1,TRUE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/Rockabye/,1,41
3,0.0784,Let Me Love You,DJ Snake,58,0.476,205947,0.718,1.02E-05,8,0.122,-5.309,1,0.0576,199.864,4,Let Me Love You,13,0.143,1,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/Let%20Me%20Love%20You/,2,34
4,0.338,Don't Wanna Know,Maroon 5,59,0.783,214480,0.623,0,7,0.0975,-6.126,1,0.08,100.048,4,Don't Wanna Know,1,0.447,1,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/Don't%20Wanna%20Know/,5,22
5,0.13,Black Beatles,Rae Sremmurd,3,0.794,291893,0.646,0,0,0.14,-6.235,1,0.0614,145.931,4,Black Beatles,5,0.331,1,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/Black%20Beatles/,2,16
6,0.0631,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,59,0.735,245200,0.451,1.30E-05,0,0.325,-8.374,1,0.0585,117.973,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",1,0.0854,1,FALSE,FALSE,FALSE,FALSE,TRUE,http://www.officialcharts.com/search/singles/I%20Don’t%20Wanna%20Live%20Forever/,0,0
7,0.108,Fake Love,Drake,3,0.927,210937,0.488,0,9,0.196,-9.433,0,0.42,133.987,4,Fake Love,20,0.599,1,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/Fake%20Love/,10,29
8,0.034,24K Magic,Bruno Mars,62,0.818,225983,0.803,0,1,0.153,-4.282,1,0.0797,106.97,4,24K Magic,1,0.632,1,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/24K%20Magic/,5,33
9,0.695,Say You Won't Let Go,James Arthur,60,0.358,211467,0.557,0,10,0.0902,-7.398,1,0.059,85.043,4,Say You Won't Let Go,2,0.475,1,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/Say%20You%20Won't%20Let%20Go/,1,42
