,acousticness,album,artist,available_markets,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track,track_number,valence,y,featuring,remix,with,radio_edit,ost,link,Peak_Pos,WoC
0,0.198,La Bicicleta,Carlos Vives,61,0.736,227707,0.9640000000000001,2.32e-06,0,0.336,-2.147,1,0.129,179.935,4,La Bicicleta,10,0.945,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/La%20Bicicleta/,0,0
1,0.22899999999999998,Despacito - Remix,Luis Fonsi,59,0.6940000000000001,228827,0.815,0.0,2,0.0924,-4.328,1,0.12,88.931,4,Despacito - Remix,1,0.826,1,False,True,False,False,False,http://www.officialcharts.com/search/singles/Despacito%20-%20Remix/,0,0
2,0.0552,I'm the One,DJ Khaled,61,0.609,288600,0.6679999999999999,0.0,7,0.16699999999999998,-4.284,1,0.0367,80.92399999999999,4,I'm the One,4,0.8,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/I'm%20the%20One/,01,23
3,0.581,Shape of You,Ed Sheeran,62,0.825,233713,0.652,0.0,1,0.0931,-3.1830000000000003,0,0.0802,95.977,4,Shape of You,4,0.9309999999999999,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Shape%20of%20You/,01,59
4,0.000259,HUMBLE.,Kendrick Lamar,3,0.904,177000,0.611,2.0300000000000002e-05,1,0.0976,-6.8420000000000005,0,0.0888,150.02,4,HUMBLE.,8,0.42700000000000005,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/HUMBLE./,06,26
5,0.0102,Mask Off,Future,62,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4,Mask Off,7,0.28600000000000003,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Mask%20Off/,22,27
6,0.0498,Something Just Like This,Chainsmokers,62,0.617,247160,0.635,1.4400000000000001e-05,11,0.16399999999999998,-6.769,0,0.0317,103.01899999999999,4,Something Just Like This,5,0.436,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Something%20Just%20Like%20This/,02,45
7,0.23199999999999998,Stay (with Alessia Cara),Zedd,59,0.679,210091,0.634,0.0,5,0.115,-5.024,0,0.0654,102.01299999999999,4,Stay (with Alessia Cara),1,0.503,1,False,False,True,False,False,http://www.officialcharts.com/search/singles/Stay/,08,21
8,0.11900000000000001,It Ain't Me (with Selena Gomez),Kygo,61,0.64,220781,0.5329999999999999,0.0,0,0.0864,-6.596,1,0.0706,99.96799999999999,4,It Ain't Me (with Selena Gomez),1,0.5,1,False,False,True,False,False,http://www.officialcharts.com/search/singles/It%20Ain't%20Me/,07,24
9,0.0577,Malibu,Miley Cyrus,61,0.565,231906,0.782,4.16e-05,8,0.0757,-6.412999999999999,1,0.0506,140.004,4,Malibu,1,0.392,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Malibu/,11,20
10,0.075,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,62,0.696,216409,0.8170000000000001,0.0,1,0.187,-3.862,1,0.109,98.064,4,Swalla (feat. Nicki Minaj & Ty Dolla $ign),1,0.779,1,True,False,False,False,False,http://www.officialcharts.com/search/singles/Swalla/,06,31
