acousticness,album,artist,available_markets,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track,track_number,valence,y,featuring,remix,with,radio_edit,ost,link,Peak_Pos,WoC
0.949,Stardust - The Rare Television Performances (Live),Nat King Cole,62,0.409,176907,0.247,3.65E-05,10,0.456,-12.882,1,0.0396,76.191,5,My Personal Possession - Live,7,0.373,0,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/My%20Personal%20Possession%20-%20Live/,0,0
0.954,Stardust - The Rare Television Performances (Live),Nat King Cole,62,0.302,200787,0.297,0.868,7,0.565,-14.058,1,0.0463,122.73,4,Stardust - Live,8,0.319,0,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/Stardust%20-%20Live/,0,0
0.835,Stardust - The Rare Television Performances (Live),Nat King Cole,62,0.498,193053,0.564,2.75E-05,1,0.802,-9.294,1,0.0717,84.929,4,The Way You Look Tonight - Live,9,0.739,0,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/The%20Way%20You%20Look%20Tonight%20-%20Live/,0,0
0.924,Stardust - The Rare Television Performances (Live),Nat King Cole,62,0.194,170453,0.27,0.575,0,0.504,-15.703,1,0.034,78.025,1,When I Fall in Love - Live,10,0.227,0,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/When%20I%20Fall%20in%20Love%20-%20Live/,0,0
0.689,Stardust - The Rare Television Performances (Live),Nat King Cole,62,0.364,144107,0.815,3.82E-06,7,0.665,-8.847,1,0.38,144.892,4,I'm Gonna Sit Right Down and Write Myself a Letter - Live,11,0.593,0,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/I'm%20Gonna%20Sit%20Right%20Down%20and%20Write%20Myself%20a%20Letter%20-%20Live/,0,0
0.903,Stardust - The Rare Television Performances (Live),Nat King Cole,62,0.253,155640,0.306,0.00143,0,0.366,-13.599,1,0.0418,97.401,4,Mona Lisa - Live,12,0.241,0,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/Mona%20Lisa%20-%20Live/,0,0
0.927,Stardust - The Rare Television Performances (Live),Nat King Cole,62,0.195,268947,0.25,0.256,7,0.346,-15.101,1,0.0333,166.98,5,Too Young - Live,13,0.123,0,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/Too%20Young%20-%20Live/,0,0
0.639,Stardust - The Rare Television Performances (Live),Nat King Cole,62,0.557,176907,0.626,0.635,7,0.93,-10.011,1,0.0757,129.138,4,Where or When - Live,14,0.663,0,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/Where%20or%20When%20-%20Live/,0,0
0.857,Stardust - The Rare Television Performances (Live),Nat King Cole,62,0.295,197493,0.425,2.62E-05,4,0.636,-10.987,1,0.0426,87.732,4,Dear Lonely Hearts - Live,15,0.639,0,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/Dear%20Lonely%20Hearts%20-%20Live/,0,0
0.879,Stardust - The Rare Television Performances (Live),Nat King Cole,62,0.619,139333,0.341,0.00256,6,0.942,-13.145,0,0.357,90.183,4,I Love a Piano - Live,16,0.456,0,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/I%20Love%20a%20Piano%20-%20Live/,0,0
0.923,Stardust - The Rare Television Performances (Live),Nat King Cole,62,0.407,195133,0.525,0.379,9,0.75,-10.64,1,0.0784,96.916,4,Ramblin' Rose - Live,17,0.587,0,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/Ramblin'%20Rose%20-%20Live/,0,0
0.909,"Some Sunny Day - The Songbook, The Energy And The Blend",Andrews Sisters,45,0.59,181107,0.265,0,1,0.151,-10.676,1,0.117,171.164,4,Alexander's Ragtime Band,1,0.753,0,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/Alexander's%20Ragtime%20Band/,0,0
0.956,"Some Sunny Day - The Songbook, The Energy And The Blend",Andrews Sisters,45,0.782,147693,0.13,0,3,0.106,-12.031,1,0.0537,131.332,4,I Want To Go Back To Michigan,2,0.781,0,FALSE,FALSE,FALSE,FALSE,FALSE,http://www.officialcharts.com/search/singles/I%20Want%20To%20Go%20Back%20To%20Michigan/,0,0
